sharpness,luminance,information,corfulnessss,class
0.1729,0.4617,5.1824,34.1859,normal
0.6799,0.4467,5.1508,13.4639,normal
0.5703,0.4491,4.8167,12.7788,normal
0.4767,0.4365,5.0907,18.5445,normal
0.1134,0.6834,4.6423,6.7253,normal
0.1205,0.6799,4.5657,7.2464,normal
0.114,0.6781,4.6651,6.8714,normal
0.1627,0.1897,5.2437,30.7456,normal
0.1574,0.1893,5.2648,29.8879,normal
0.1446,0.1726,5.3412,30.7532,normal
0.1768,0.3819,4.4808,10.9877,normal
0.0924,0.2292,3.7352,16.3134,normal
0.1078,0.4447,5.0841,81.9714,normal
0.0658,0.4225,5.1295,98.625,normal
0.1939,0.4319,4.8781,66.2078,normal
0.1961,0.4511,4.9146,5.944,normal
0.1515,0.2259,5.063,11.8211,normal
0.1609,0.2143,5.2609,36.433,normal
0.1408,0.7338,5.3001,41.8524,normal
0.1569,0.2368,5.2024,27.8163,normal
0.139,0.458,5.2594,25.7102,normal
0.1436,0.4869,5.2387,27.0486,normal
0.1029,0.464,5.1928,25.0809,normal
0.4241,0.5254,4.5227,9.6031,normal
0.1302,0.654,4.2717,8.8674,normal
0.1391,0.6831,4.45,19.8057,normal
0.12,0.4236,5.0931,14.4464,normal
0.0717,0.473,5.1347,16.9833,normal
0.2647,0.4744,5.1969,28.4166,normal
0.2324,0.4755,5.1118,23.7311,normal
0.1496,0.4447,5.1152,20.1527,normal
0.1216,0.7266,5.2884,18.5407,normal
0.1504,0.8306,5.3283,21.4952,normal
0.2232,0.5105,5.2155,24.2284,normal
0.2193,0.5096,5.2178,24.1551,normal
0.1704,0.2214,5.0022,20.0635,normal
0.1507,0.4346,5.1995,19.0215,normal
0.0432,0.496,5.1657,7.0403,normal
0.0443,0.4945,5.113,7.407,normal
0.0538,0.4925,5.0737,7.2033,normal
0.062,0.4948,4.9442,5.1598,normal
0.0419,0.5139,4.9829,5.9265,normal
0.2484,0.4708,4.9361,13.8801,normal
0.0983,0.4605,5.1983,18.1842,normal
0.0417,0.4632,5.2717,19.8536,normal
0.0129,0.4569,5.2587,16.6467,normal
0.0257,0.4552,5.2999,17.6847,normal
0.0185,0.4864,5.3925,17.0834,bright
0.0279,0.7637,5.3073,18.7521,bright
0.0173,0.7712,5.3759,19.2462,bright
0.0242,0.7679,5.4188,20.5056,bright
0.0386,0.4846,5.369,16.0295,bright
0.03,0.771,5.4254,35.9888,bright
0.0677,0.5092,5.0515,6.6236,bright
0.0557,0.511,5.1035,5.7161,bright
0.0385,0.4942,5.0933,6.5168,bright
0.0959,0.8561,5.2051,7.8794,bright
0.0402,0.863,5.1396,7.1323,bright
0.2519,0.1802,5.1527,9.3405,bright
0.2483,0.1834,5.1699,9.5122,bright
0.1342,0.8182,5.3782,48.85,bright
0.071,0.7929,5.2783,47.0916,bright
0.0166,0.6897,4.9804,52.5946,bright
0.03,0.7389,5.2067,45.4612,bright
0.0603,0.4236,4.6344,14.3343,bright
0.0528,0.4195,4.6925,16.492,bright
0.3358,0.1854,4.754,16.9992,bright
0.5239,0.8146,5.0375,43.0719,bright
0.3773,0.841,4.5076,73.2817,bright
0.3574,0.8494,4.5556,72.2194,bright
0.3675,0.4538,5.1276,10.1334,bright
0.3405,0.4544,5.1114,8.0007,bright
0.2565,0.4501,5.0457,6.6809,bright
0.1545,0.4531,4.9039,18.4633,bright
0.2648,0.442,5.2403,17.7884,bright
0.2457,0.8076,5.2616,9.7143,bright
0.1447,0.4551,5.1287,17.7847,bright
0.1934,0.438,5.2489,18.616,bright
0.1357,0.4489,5.1772,18.8125,bright
0.157,0.4269,4.8549,6.757,bright
0.3249,0.4351,5.0119,5.3216,bright
0.296,0.423,4.9219,6.0029,bright
0.2624,0.448,5.0069,7.1875,bright
0.286,0.4278,4.8855,7.0296,bright
0.2228,0.4153,4.5757,53.356,bright
0.3446,0.2449,4.3863,61.6561,bright
0.5565,0.4158,4.5685,7.2117,bright
0.509,0.4154,4.7126,10.5514,bright
0.2501,0.4624,4.8868,7.0648,bright
0.1624,0.4037,4.6877,7.0852,bright
0.231,0.2395,4.4969,7.6272,bright
0.2019,0.2506,4.54,7.2419,bright
0.3393,0.8803,4.1729,24.5217,bright
0.0705,0.8788,4.7953,33.2792,bright
0.2156,0.8903,4.4956,29.6092,bright
0.2418,0.836,5.125,35.4654,bright
0.2364,0.8616,4.8227,35.2834,bright
